			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 3	1421.667	156.327	17060.000	1295.000	1870.000	12	
ROI 3	1437.250	139.510	17247.000	1290.000	1802.000	12	
ROI 3	1421.083	152.796	17053.000	1279.000	1844.000	12	
ROI 3	1420.917	148.150	17051.000	1277.000	1844.000	12	
ROI 3	1432.667	139.906	17192.000	1298.000	1832.000	12	
ROI 3	1455.250	157.840	17463.000	1332.000	1913.000	12	
ROI 3	1465.583	137.903	17587.000	1330.000	1857.000	12	
ROI 3	1456.083	162.642	17473.000	1252.000	1908.000	12	
ROI 3	1462.083	163.760	17545.000	1315.000	1931.000	12	
ROI 3	1475.833	158.259	17710.000	1344.000	1921.000	12	
ROI 3	1464.667	157.032	17576.000	1337.000	1905.000	12	
ROI 3	1466.167	161.976	17594.000	1312.000	1921.000	12	
ROI 3	1494.500	156.736	17934.000	1365.000	1957.000	12	
ROI 3	1487.417	158.569	17849.000	1350.000	1958.000	12	
ROI 3	1514.917	160.227	18179.000	1370.000	1969.000	12	
ROI 3	1497.417	144.369	17969.000	1321.000	1888.000	12	
ROI 3	1520.250	169.717	18243.000	1335.000	2003.000	12	
ROI 3	1509.917	157.795	18119.000	1393.000	1977.000	12	
ROI 3	1526.250	170.001	18315.000	1386.000	2019.000	12	
ROI 3	1522.833	160.098	18274.000	1353.000	1956.000	12	
ROI 3	1525.750	163.880	18309.000	1386.000	2004.000	12	
ROI 3	1541.000	162.326	18492.000	1399.000	2004.000	12	
ROI 3	1555.583	177.904	18667.000	1395.000	2066.000	12	
ROI 3	1546.917	158.271	18563.000	1393.000	1996.000	12	
ROI 3	1538.333	157.518	18460.000	1423.000	2008.000	12	
ROI 3	1559.333	159.002	18712.000	1428.000	2015.000	12	
ROI 3	1568.500	186.838	18822.000	1389.000	2109.000	12	
ROI 3	1573.917	166.135	18887.000	1432.000	2052.000	12	
ROI 3	1575.500	180.604	18906.000	1403.000	2078.000	12	
ROI 3	1582.250	179.241	18987.000	1432.000	2107.000	12	
ROI 3	1579.833	174.521	18958.000	1381.000	2068.000	12	
ROI 3	1593.583	183.657	19123.000	1426.000	2119.000	12	
